"","logFC","logCPM","LR","PValue","FDR"
"PITA_06805",-10.0269441719491,2.66332340824922,92.2779200351091,7.5319984484641e-22,1.95899747646103e-18
"PITA_00209",-10.4017819040573,3.02666432619911,89.7730229601881,2.67111783452866e-21,5.78942531318799e-18
"PITA_25299",-9.17209450059816,1.84682150119277,72.6433652697829,1.55328194306626e-17,2.12627947669529e-14
"PITA_13583",-9.53942124315527,2.19534381698066,67.9256555937784,1.69777675708143e-16,2.10273693690147e-13
"PITA_05817",-4.44824724400869,3.07212646751143,52.5273616110911,4.2429557570503e-13,3.34409200864004e-10
"PITA_45678",-6.34041270937044,1.80603987054595,44.7061718963803,2.28934533887591e-11,1.41770435521008e-08
"PITA_41896",-3.77456480307025,2.85082424612255,36.7868609847378,1.3177535891076e-09,4.69499357521912e-07
"PITA_46254",-3.48244712447146,7.83117817333397,35.5811982559394,2.4463740046835e-09,8.48369886504176e-07
"PITA_29196",-3.99899912162356,3.27673379344596,35.1827749289641,3.00166819321748e-09,1.02724194786044e-06
"PITA_38610",-5.29968159216442,1.28756310175929,34.9265598612675,3.42378447097277e-09,1.15648325072118e-06
"PITA_17720",-4.20011388513971,4.79596671386111,34.7252677633257,3.79671565355643e-09,1.26600996709422e-06
"PITA_26356",-2.73686480445297,5.56638926148748,34.0478750971549,5.377259851997e-09,1.74821439363237e-06
"PITA_24919",-2.68119647854549,6.13796790870735,31.4676755589887,2.02788168206374e-08,5.61097602859531e-06
"PITA_31850",-3.73222378720488,2.36857341958892,29.9461192303929,4.44220078036499e-08,1.12172038928653e-05
"PITA_22123",-2.8740467028647,4.74668896641317,29.8540001570026,4.65834778306382e-08,1.1538949284734e-05
"PITA_23069",-2.00638061388739,6.36346114761055,28.6364720436887,8.7321892435171e-08,2.02781705388068e-05
"PITA_07907",-4.13900993956735,1.34539844764887,28.0413291044398,1.18751999035452e-07,2.68575716775049e-05
"PITA_00986",-2.68874316501065,4.19037874583602,27.9182164554553,1.2655270516945e-07,2.78941466843408e-05
"PITA_22854",-3.18553680666871,2.45601250231671,27.5002736683497,1.57072278230543e-07,3.26823430759855e-05
"PITA_30250",-3.57100721280578,4.64079130247189,25.2875103384091,4.93896507139655e-07,8.98020638393967e-05
"PITA_17377",-2.66857422999586,2.81129934185617,25.2746787122888,4.97193171320432e-07,8.98020638393967e-05
"PITA_42005",-4.29226633876417,1.1963070966304,22.8256788010062,1.77379800025223e-06,0.000274611382074763
"PITA_31225",-1.67136543408205,5.85784127798499,22.597977539504,1.99694711870044e-06,0.000300223107573872
"PITA_18469",-2.8569272692052,2.28113093163944,22.5068213584369,2.09398686204128e-06,0.000309446047129726
"PITA_09977",-3.44488617208203,3.13569992648891,22.408537795431,2.20392116046651e-06,0.000323851895268776
"PITA_03793",-3.49225966135184,4.3760863383893,22.1107139564981,2.57369306565312e-06,0.000365787884943017
"PITA_16460",-2.58101517096987,2.56475909533019,22.0607632991829,2.64154316389759e-06,0.000373390739944633
"PITA_42919",-4.67338820909432,2.69095276725893,21.9439100721168,2.807363364337e-06,0.000393933234316524
"PITA_20015",-1.89149948128394,3.89911726001162,20.6658845860569,5.46816445943623e-06,0.000693763363051107
"PITA_18634",-2.56836671415982,4.59379167757375,20.18839530154,7.01773763057147e-06,0.000853342662998334
"PITA_30618",-1.8709148554645,4.3594675601306,20.1785240540452,7.05404562054065e-06,0.000853342662998334
"PITA_43294",-2.71824553611989,2.56151086959171,20.0153998469217,7.68209917842824e-06,0.000908198716053364
"PITA_35860",-4.07659636420021,1.12331971345801,18.7432212106698,1.49554030061153e-05,0.00166228665293185
"PITA_39780",-1.46178018669097,4.69018275519991,18.3260619720279,1.86143177692502e-05,0.00198417947073946
"PITA_34546",-2.4897955691018,4.0810886113307,17.8971118602948,2.3317469687806e-05,0.00241619151039899
"PITA_15007",-1.84276795179252,5.02494423019452,17.0868999792209,3.57077602966504e-05,0.00343971532427993
"PITA_46721",-3.59747199766372,4.68755370021109,17.0083280940322,3.7216223001192e-05,0.0035456290990403
"PITA_41416",-1.82690190925797,4.91127834048374,16.8926289834012,3.95548867885056e-05,0.00375468266599359
"PITA_45005",-2.37967115766756,2.77384577669715,16.5855503359342,4.65039883351467e-05,0.00429645404897799
"PITA_44539",-1.72442142570829,4.20882780506675,16.5822952039849,4.65838764201543e-05,0.00429645404897799
"PITA_11028",-3.3399330786204,2.30486510010711,16.344533905053,5.28082525098068e-05,0.00476906194280405
