"","logFC","logCPM","LR","PValue","FDR"
"PITA_45726",9.42996338900372,5.15721951948291,186.634955158614,1.72536662811913e-42,4.48750606307505e-38
"PITA_40477",11.3767137036017,3.97850720661503,163.546647510442,1.9002025880605e-37,2.47111845564328e-33
"PITA_34642",12.5013013578092,5.09769167563048,161.324188154871,5.81214440801929e-37,5.03893546360579e-33
"PITA_21495",4.75390853419755,4.59313985602845,115.273233928103,6.85680833986742e-27,4.4584682027903e-23
"PITA_07064",3.85237443315996,8.28464756962084,111.897066738965,3.76351210952076e-26,1.95770372913051e-22
"PITA_20445",3.95012153054797,9.95953540866713,104.7875235909,1.35960774839153e-24,5.8936729879859e-21
"PITA_13285",10.6127062531185,3.22097048552837,98.7323910654258,2.89035643081967e-23,1.07393257727413e-19
"PITA_49717",11.3641324594544,3.97105716737721,97.43075252582,5.57730561784097e-23,1.81325177268032e-19
"PITA_23254",9.95940052618181,2.58667725694955,94.2787630342699,2.74075085799446e-22,7.92046545173089e-19
"PITA_25260",7.93706535527708,3.17198048564866,90.5360289019008,1.81639079935541e-21,4.2947734818577e-18
"PITA_29149",10.8396150562597,3.45408013655953,88.6794425649646,4.64264946980184e-21,9.2885130815443e-18
"PITA_15444",11.5512981006811,4.15430530178635,88.4296129634631,5.2676293015655e-21,9.78612646460122e-18
"PITA_32490",7.37920740341586,2.63473308506169,84.7352863423546,3.41108109880407e-20,5.91458721991967e-17
"PITA_41407",7.11522544833695,5.02956215163962,83.1851679933438,7.47162210665865e-20,1.21455887107553e-16
"PITA_23992",9.39519742919502,2.03873251022073,82.7404991281346,9.35644553449551e-20,1.4314811288629e-16
"PITA_24441",6.98059062162902,4.69270858350068,78.2314535746438,9.16475354409846e-19,1.32425597182476e-15
"PITA_00577",9.108339047686,1.76737211390429,71.0652644556397,3.45601371932873e-17,4.49437304130104e-14
"PITA_08448",3.75051988675932,5.85681854247553,67.6805740857152,1.9224836300264e-16,2.27281257878894e-13
"PITA_03091",4.93295111817193,3.59107024840571,67.520525128908,2.08505136201397e-16,2.35783047280962e-13
"PITA_36517",2.92508602459064,9.07246803501967,67.227880724864,2.4186930476731e-16,2.62115781153874e-13
"PITA_25599",5.47367598236262,6.30811507367974,66.4694295733181,3.55362282832637e-16,3.69704704567762e-13
"PITA_12330",11.5388561353017,4.14272894483715,64.5728643914016,9.30277406945794e-16,9.30599426048198e-13
"PITA_05464",5.68546282516257,2.60252924693205,63.6951361870355,1.45242742009891e-15,1.39911795442047e-12
"PITA_33662",7.23213697043674,1.73573278944106,57.0804913501632,4.18334899054738e-14,3.88588299625524e-11
"PITA_47363",8.8744145609864,1.55430746203473,56.4278264047343,5.82994639079938e-14,5.22865778201038e-11
"PITA_39929",3.32230018782118,5.55520231676038,56.1035364790819,6.87533375793287e-14,5.96068519033587e-11
"PITA_08209",5.29556003916821,3.08841130634791,54.7803074473665,1.34784563719304e-13,1.13084248960496e-10
"PITA_07942",7.33212919009416,3.48518667876956,53.745548099323,2.28210735249375e-13,1.85485406659406e-10
"PITA_30342",9.37302925725691,2.00159218464802,52.0370750683799,5.44625388115614e-13,4.16622403514676e-10
"PITA_27636",3.29466543906529,5.43722245799807,50.9112542757856,9.66379013340099e-13,7.18130050227504e-10
"PITA_44205",3.69545353128585,4.68949816492046,50.1073714408811,1.45559157186183e-12,1.05162447757095e-09
"PITA_43112",3.68122424216065,7.2235394148411,49.2405899330973,2.26416874332423e-12,1.5915882390573e-09
"PITA_23553",3.49494269924904,4.12922687875833,47.807951942654,4.70081521700857e-12,3.21746060471515e-09
"PITA_04373",10.2127108877112,2.84731535885571,47.2329402505946,6.30322035868821e-12,4.20360149510568e-09
"PITA_11859",2.57568926965163,6.45977667969799,46.556453451887,8.9016607951511e-12,5.78808239052713e-09
"PITA_00967",2.73947792564686,5.05444031402303,44.9434908284382,2.0280322486126e-11,1.28651440863817e-08
"PITA_22157",7.13767474956255,1.64232163303659,44.4415757325334,2.6206221712493e-11,1.57766957399513e-08
