"","logFC","logCPM","LR","PValue","FDR"
"PITA_40477",12.0725641765966,4.53197625391201,200.580830806073,1.55984883249615e-45,4.00319604371812e-41
"PITA_11777",10.0943644202373,2.58544515072312,89.3133769279931,3.36972898601058e-21,4.32403623484878e-17
"PITA_41141",9.3043889409727,1.82389580414278,60.0444741664362,9.27380004082119e-15,4.7600560849527e-11
"PITA_32480",8.30951368417898,0.901623871943389,43.6198541413664,3.98772788493751e-11,1.46201497770052e-07
"PITA_22786",7.84639141770726,0.476577175072634,34.8120173390347,3.63125114918337e-09,9.3192429492642e-06
"PITA_13121",7.95827653353285,0.599002839785711,34.0874854830658,5.26890394037883e-09,1.22928318841711e-05
"PITA_24873",3.08192708044949,3.95163939739838,30.9035141307683,2.7118029849081e-08,5.79964265039011e-05
"PITA_23405",1.9795482011637,5.18339786481037,26.1264521508119,3.19773096157153e-07,0.000455925374432065
"PITA_15650",7.20534649610359,-0.0722706187710345,25.1780107931782,5.22748409588895e-07,0.000614228577025943
"PITA_43024",7.11976047607918,-0.131219819645411,25.1640867387712,5.26536342525357e-07,0.000614228577025943
"PITA_00960",3.09679862350771,5.66097491252494,24.1870891991659,8.74163346604609e-07,0.000897381125090428
"PITA_36186",2.58600063429181,3.1089250988832,22.8019811142323,1.79580493053505e-06,0.00170694584212043
"PITA_07500",3.03881286050987,1.86158335879426,21.7983092194441,3.02866913092931e-06,0.00245140944746501
"PITA_28406",5.19495382829365,0.55115415620385,21.2443955555409,4.0429075024767e-06,0.00305168171010476
"PITA_15382",2.10604444600778,6.72591292721267,20.5948831220457,5.67475858048459e-06,0.00397400815673611
"PITA_51260",2.25990732028226,4.44116818217515,20.5765511593663,5.72936026337423e-06,0.00397400815673611
"PITA_34569",2.39443176304765,5.94898690611446,20.4831249678934,6.01593101979523e-06,0.00406296983400065
"PITA_23186",2.81899758093098,5.53556885290712,19.9052349857121,8.13771877666946e-06,0.00522116036711113
"PITA_33903",2.35119291811547,8.53057683144982,19.2346999524089,1.15593059659133e-05,0.00706328638831426
"PITA_50189",3.70853970447998,1.49959072178166,19.1458857520085,1.21098248517808e-05,0.0072275940696768
"PITA_50562",1.65292074979185,6.50951933342908,18.6337123209223,1.58394678720514e-05,0.00907832053982401
"PITA_08264",1.81986511120921,8.58760875327872,18.5983718685721,1.61358299433623e-05,0.00907832053982401
"PITA_08348",2.43334584052645,6.1344774175156,18.5413654827105,1.66256649536989e-05,0.00907832053982401
"PITA_37590",1.97046630441326,4.15766774332513,17.8118669089662,2.43857587264974e-05,0.0127721655501394
"PITA_34222",4.36231495794496,1.71897152645301,17.2025168249635,3.35990925938274e-05,0.0159682798579257
"PITA_50862",2.37915364364843,2.76521671855189,16.404215869634,5.11712899559317e-05,0.0209170052586794
"PITA_08739",3.66431634966356,1.4646583255863,16.3491589545123,5.26795351968509e-05,0.0211244936139372
"PITA_43694",2.40980590501994,2.3703581721502,16.2412940204196,5.57652541171876e-05,0.0212985025018599
"PITA_25373",2.23125533799896,3.23981777076921,16.218741058574,5.64330646090428e-05,0.0212985025018599
"PITA_34045",1.84969510867552,4.80057634296431,16.1616099454538,5.81609772876938e-05,0.0215442269127694
"PITA_43768",1.41490450536992,7.56965491775883,16.1421022326139,5.87630877452408e-05,0.0215442269127694
"PITA_39029",3.19297568205201,1.53834268370683,15.3883464164283,8.75264271576725e-05,0.0299503763543267
"PITA_44061",3.14794935141517,2.22418903428678,15.1995222522978,9.67278889440832e-05,0.0314230954665943
"PITA_10311",2.01625568743957,4.21390952550557,15.0358177490577,0.000105489960393141,0.0329746042862658
"PITA_05853",1.35025822474127,5.63294808147429,15.0152968389055,0.000106643241730052,0.0329746042862658
"PITA_11906",1.7752980605148,4.02436501690429,14.7317253936693,0.000123943056877791,0.037867554901329
"PITA_09126",2.54421312249458,1.55971430254504,14.6435397823819,0.000129879051010658,0.0385482554167795
"PITA_19766",2.33943273204205,2.46275539185275,14.631993803182,0.000130677143908191,0.0385482554167795
"PITA_09664",1.86045969384561,3.02703718693298,14.574954251053,0.000134692933310465,0.0388399937132558
"PITA_35858",1.91029732766726,3.2634326740385,14.2579256146174,0.000159388192984498,0.0421705008737542
"PITA_25828",1.94786829952834,3.30785185437759,14.1893811542529,0.000165300736049357,0.0429989851945347
"PITA_07995",2.11023126103261,4.22636428096642,14.1829071960043,0.000165870461902234,0.0429989851945347
"PITA_47065",3.31800302683987,2.80722753348149,14.1463274055204,0.0001691269409586,0.0433328405692958
"PITA_20008",1.89433950383589,3.27690965925787,14.0528933140704,0.000177740171654305,0.044720821228785
"PITA_48756",2.85036740084247,1.72803576320743,14.0117839401228,0.000181668530340502,0.0452654481811518
"PITA_08185",1.46084514950356,6.61141250884999,13.9763090417784,0.000185128701468709,0.045347967083535
"PITA_00807",1.69122471638647,3.64608896024336,13.9722007185949,0.000185533687023503,0.045347967083535
"PITA_08051",1.74650424176556,6.18417217792094,13.9371259219777,0.000189027787233362,0.0457661238826132
"PITA_37774",2.94649837817864,1.06558155682545,13.9012055846752,0.000192674841245268,0.0458385366987566
"PITA_28644",1.92892352398841,4.06307508763786,13.8955721044501,0.000193253214212541,0.0458385366987566
"PITA_37523",3.45261167640203,0.185972924366267,13.7761439008848,0.000205934707225862,0.0476135885247254
